math_eq,CorrAns,dstr1,dstr2,CorrAns_key
42 - 9,33,31,23,2
11 * 3,33,31,38,1
118 / 2,59,63,57,2
36 - 13,23,28,22,2
38 - 12,26,23,36,2
38 + 26,64,54,62,1
108 / 2,54,56,64,2
15 * 2,30,27,26,2
30 - 14,16,17,18,2
13 * 2,26,24,23,3
31 + 10,41,39,32,3
27 - 14,13,10,23,1
27 + 18,45,47,52,1
37 + 18,55,47,45,2
112 / 2,56,52,46,1
110 / 2,55,59,57,2
22 + 14,36,46,38,3
32 - 9,23,29,21,3
18 * 3,54,52,44,3
33 - 6,27,29,26,2
19 * 3,57,50,53,3
140 / 4,45,35,42,1
23 + 18,41,39,33,1
128 / 2,64,60,62,3
39 - 11,28,26,27,2
23 + 9,32,31,29,1
142 / 2,71,72,74,1
14 * 3,42,38,40,2
33 - 8,25,26,28,3
37 + 26,63,53,65,1
34 - 8,26,20,32,1
14 * 3,42,44,49,1
22 + 18,40,33,48,3
11 * 3,33,39,29,1
19 * 2,38,37,32,1
28 + 19,47,50,45,2
31 + 23,54,47,57,2
22 + 20,42,38,51,2
39 - 11,28,19,18,1
31 + 43,74,73,64,3
30 + 22,52,58,53,1
25 - 14,11,2,6,1
100 / 4,25,20,22,3
58 - 13,45,55,44,3
33 + 22,55,52,53,2
24 - 14,10,20,11,2
118 / 2,59,55,57,3
14 * 2,28,38,16,1
23 * 4,92,82,87,3
25 + 19,44,53,38,1
