counterbalanced_vars_behav,,,,,
Participant,enc_relatedness_keys,cat_keys,cat_colors,d_lbl_keys,o_lbl_keys
300,1,1,0,1,1
301,0,1,0,1,0
302,0,0,0,0,1
303,1,0,1,0,0
304,0,0,0,1,1
305,0,1,1,1,1
306,1,0,1,1,0
307,1,1,1,1,0
308,0,1,1,0,1
309,1,0,0,1,0
310,1,0,1,1,1
311,1,0,0,1,1
312,0,1,0,1,1
313,1,1,0,0,1
314,1,1,1,1,1
315,0,1,0,0,1
316,0,0,1,1,1
317,0,0,1,0,0
318,1,1,1,0,1
319,0,0,0,1,0
320,1,1,1,0,0
321,1,0,1,0,1
322,0,1,1,0,0
323,0,0,1,0,1
324,0,1,1,1,0
325,1,0,0,0,0
326,1,1,0,1,0
327,1,0,0,0,1
328,0,0,0,0,0
329,1,1,0,0,0
330,0,0,1,1,0
331,0,1,0,0,0
332,1,1,0,1,1
333,0,1,0,1,0
334,0,0,0,0,1
335,1,0,1,0,0
336,0,0,0,1,1
337,0,1,1,1,1
338,1,0,1,1,0
339,1,1,1,1,0
340,0,1,1,0,1
341,1,0,0,1,0
342,1,0,1,1,1
343,1,0,0,1,1
344,0,1,0,1,1
345,1,1,0,0,1
346,1,1,1,1,1
347,0,1,0,0,1
348,0,0,1,1,1
349,0,0,1,0,0
350,1,1,1,0,1
351,0,0,0,1,0
352,1,1,1,0,0
353,1,0,1,0,1
354,0,1,1,0,0
355,0,0,1,0,1
356,0,1,1,1,0
357,1,0,0,0,0
358,1,1,0,1,0
359,1,0,0,0,1
360,0,0,0,0,0
361,1,1,0,0,0
362,0,0,1,1,0
363,0,1,0,0,0
364,1,1,0,1,1
