run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,canonical_item,item_cat,item_type,congruency,integrated_stimulus,recalled_stimulus,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs_trial.thisRepN,runs_trial.thisTrialN,runs_trial.thisN,runs_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,between_run_inst.thisRepN,between_run_inst.thisTrialN,between_run_inst.thisN,between_run_inst.thisIndex,thisRow.t,notes,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,integrated_scene_presentation.started,image_integrated.started,integrated_scene_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,blank1000.started,text_8.started,text_8.stopped,blank1000.stopped,image_integrated.stopped,text_congruency.stopped,key_resp_congruency.stopped,is_last_run.started,is_last_run.stopped,between_run_pause.started,text_run_pause.started,text_relatedness_pause.started,key_resp_next_run.started,participant,session,group,delay,mode,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012531333020888269,0.012618875014595687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012638375046662986,0.023667500005103648,1.0078082920517772,3.8206661250442266,space,2.5550282910699025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8272718329681084,3.850145125063136,3.850145125063136,9.52624925004784,space,5.664482624968514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52637641702313,9.53921233303845,11.607841582968831,11.524925707955845,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,0,0,0,stimuli/scenes/UA_1.jpg,Undersea,Tulon,stimuli/items/jungle_animal_17.png,Jungle,animal,si,stimuli/integrated/ocean_a_jungle_animal_17.jpg,stimuli/recalled/recalled_ocean_a_jungle_animal_17.jpg,q,0,0.6850789999589324,None,0,0,0,0,0,0,0,0,,,,,11.607841582968831,,,,,,,,,,,,,,,,,,,,,,11.553415292059071,11.553469875012524,11.6022756670136,11.607841582968831,13.5580759170698,13.55814883299172,13.564362875069492,13.564362875069492,14.258657875005156,q,0,0.6850789999589324,None,14.258749875007197,14.272319874959067,15.291248667053878,15.258146208012477,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,1,1,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/undersea_animal_10.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_10.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_10.jpg,q,1,0.28358570800628513,None,0,0,0,0,0,1,1,1,,,,,15.291248667053878,,,,,,,,,,,,,,,,,,,,,,,,15.285027208039537,15.291248667053878,17.26409833296202,17.264177125063725,17.27443550003227,17.27443550003227,17.56445333303418,q,1,0.28358570800628513,None,17.564569500042126,17.59134541696403,,18.574666125001386,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,2,2,0,stimuli/scenes/UA_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_15.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_15.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_15.jpg,p,1,0.2604842080036178,None,0,0,0,0,0,2,2,2,,,,,18.598995625041425,,,,,,,,,,,,,,,,,,,,,,,,18.59326274995692,18.598995625041425,20.574571500066668,20.574638916994445,20.579678958049044,20.579678958049044,20.84258175001014,p,1,0.2604842080036178,None,20.842712542042136,20.847958500031382,21.867535916971974,21.84145470801741,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,3,3,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/undersea_object_1.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_1.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_1.jpg,q,1,0.26181791606359184,None,0,0,0,0,0,3,3,3,,,,,21.867535916971974,,,,,,,,,,,,,,,,,,,,,,,,21.86187925003469,21.867535916971974,23.847673667012714,23.84778000006918,23.85811274999287,23.85811274999287,24.1250314170029,q,1,0.26181791606359184,None,24.125166542013176,24.129061250016093,25.137120082974434,25.113513875054196,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,4,4,0,stimuli/scenes/UA_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_13.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_13.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_13.jpg,p,1,0.8644239990971982,None,0,0,0,0,0,4,4,4,,,,,25.137120082974434,,,,,,,,,,,,,,,,,,,,,,,,25.13127162505407,25.137120082974434,27.12458704202436,27.12463266705163,27.129354625009,27.129354625009,27.998256667051464,p,1,0.8644239990971982,None,27.99837279203348,28.012578958063386,29.019949416979216,28.997000582981855,27.129354625009,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,5,5,0,stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_object_17.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_17.jpg,stimuli/recalled/recalled_jungle_b_undersea_object_17.jpg,p,1,0.4301791660254821,None,0,0,0,0,0,5,5,5,,,,,29.019949416979216,,,,,,,,,,,,,,,,,,,,,,,,29.014611250022426,29.019949416979216,31.007757832994685,31.00783891696483,31.01341154205147,31.01341154205147,31.44764370797202,p,1,0.4301791660254821,None,31.44776329200249,31.46264466701541,32.47525279200636,32.44611691706814,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,6,6,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/undersea_object_3.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_3.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_3.jpg,p,1,0.43680645793210715,None,0,0,0,0,0,6,6,6,,,,,32.47525279200636,,,,,,,,,,,,,,,,,,,,,,,,32.469670166959986,32.47525279200636,34.45834145799745,34.45841850002762,34.463709666975774,34.463709666975774,34.909064250066876,p,1,0.43680645793210715,None,34.90915491699707,34.916535416967236,35.935459958040155,35.90788937499747,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,7,7,0,stimuli/scenes/UA_1.jpg,Undersea,Tulon,stimuli/items/undersea_object_11.png,Undersea,object,sc,stimuli/integrated/ocean_a_undersea_object_11.jpg,stimuli/recalled/recalled_ocean_a_undersea_object_11.jpg,q,1,0.3380123330280185,None,0,0,0,0,0,7,7,7,,,,,35.935459958040155,,,,,,,,,,,,,,,,,,,,,,,,35.929520667064935,35.935459958040155,37.91348479199223,37.91358516702894,37.92440108302981,37.92440108302981,38.264466666965745,q,1,0.3380123330280185,None,38.26460287498776,38.2790373750031,39.28710349998437,39.26310362503864,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,8,8,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_11.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_11.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_11.jpg,p,1,0.38618979102466255,None,0,0,0,0,0,8,8,8,,,,,39.28710349998437,,,,,,,,,,,,,,,,,,,,,,,,39.28177083306946,39.28710349998437,41.27454362506978,41.27461874997243,41.280205792048946,41.280205792048946,41.67362433299422,p,1,0.38618979102466255,None,41.673745375010185,41.67820766696241,42.67418291699141,42.66156920802314,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,9,9,0,stimuli/scenes/UA_1.jpg,Undersea,Tulon,stimuli/items/undersea_animal_2.png,Undersea,animal,sc,stimuli/integrated/ocean_a_undersea_animal_2.jpg,stimuli/recalled/recalled_ocean_a_undersea_animal_2.jpg,q,1,0.365156416897662,None,0,0,0,0,0,9,9,9,,,,,42.67418291699141,,,,,,,,,,,,,,,,,,,,,,,,42.670014542061836,42.67418291699141,44.65783470799215,44.65788070799317,44.66304208303336,44.66304208303336,45.030958708026446,q,1,0.365156416897662,None,45.031067667063326,45.0451605420094,46.052392125013284,46.03003749996424,44.66304208303336,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,10,10,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/jungle_object_9.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_9.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_9.jpg,p,1,0.5905155410291627,None,0,0,0,0,0,10,10,10,,,,,46.052392125013284,,,,,,,,,,,,,,,,,,,,,,,,46.04680745804217,46.052392125013284,48.040909125003964,48.040961874998175,48.04577204200905,48.04577204200905,48.64197187498212,p,1,0.5905155410291627,None,48.64207391696982,48.64655312499963,49.65379879204556,49.62946454202756,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,11,11,0,stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_object_7.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_7.jpg,stimuli/recalled/recalled_jungle_b_jungle_object_7.jpg,q,1,0.447711665998213,None,0,0,0,0,0,11,11,11,,,,,49.65379879204556,,,,,,,,,,,,,,,,,,,,,,,,49.648545667063445,49.65379879204556,51.64107970800251,51.641124499961734,51.646367124980316,51.646367124980316,52.09672437503468,q,1,0.447711665998213,None,52.09682066703681,52.1070605419809,53.114688292029314,53.09106408304069,51.646367124980316,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,12,12,0,stimuli/scenes/UB_1.jpg,Undersea,Somar,stimuli/items/undersea_animal_12.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_12.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_12.jpg,q,1,0.42447974905371666,None,0,0,0,0,0,12,12,12,,,,,53.114688292029314,,,,,,,,,,,,,,,,,,,,,,,,53.109154500067234,53.114688292029314,55.107600082992576,55.10767262498848,55.113586292020045,55.113586292020045,55.542740583070554,q,1,0.42447974905371666,None,55.54288354201708,55.54825504205655,56.56960004195571,56.54100491700228,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,13,13,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/jungle_animal_16.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_16.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_16.jpg,q,1,0.6985858330735937,None,0,0,0,0,0,13,13,13,,,,,56.56960004195571,,,,,,,,,,,,,,,,,,,,,,,,56.56385987496469,56.56960004195571,58.54711387504358,58.547179999994114,58.557384000043385,58.557384000043385,59.25877854204737,q,1,0.6985858330735937,None,59.25889187504072,59.26414016704075,60.28486995806452,60.25785087503027,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,14,14,0,stimuli/scenes/UA_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_3.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_3.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_3.jpg,p,1,0.5287132080411538,None,0,0,0,0,0,14,14,14,,,,,60.28486995806452,,,,,,,,,,,,,,,,,,,,,,,,60.27895870804787,60.28486995806452,62.26354487496428,62.26363445806783,62.27428820799105,62.27428820799105,62.8088858750416,p,1,0.5287132080411538,None,62.80900437501259,62.81479033303913,63.838049167068675,63.80805766698904,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,15,15,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_15.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_15.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_15.jpg,p,1,0.2805324998917058,None,0,0,0,0,0,15,15,15,,,,,63.838049167068675,,,,,,,,,,,,,,,,,,,,,,,,63.83268245798536,63.838049167068675,65.8132882079808,65.81338870804757,65.8242475000443,65.8242475000443,66.10884750005789,p,1,0.2805324998917058,None,66.10900058306288,66.11478850001004,67.14089666702785,67.10779929195996,,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,16,16,0,stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_19.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_19.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_19.jpg,None,0,,,0,0,0,0,0,16,16,16,,,,,67.14089666702785,,,,,,,,,,,,,,,,,,,,,,,,67.13521216704976,67.14089666702785,69.11273012496531,69.1128459169995,69.12401633302215,69.12401633302215,70.10699283296708,None,0,,,70.10709020798095,70.1119598330697,71.12167625001166,71.09605612501036,,70.1119598330697,70.1119598330697,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
1,17,17,0,stimuli/scenes/JA_1.jpg,Jungle,Malbow,stimuli/items/undersea_object_15.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_15.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_15.jpg,p,1,0.2473971659783274,None,0,0,0,0,0,17,17,17,,,,,71.12167625001166,,,,,,,,,,,,,,,,,,,,,,,,71.11593550001271,71.12167625001166,73.10754179197829,73.1075902080629,73.11267816706095,73.11267816706095,73.36424966703635,p,1,0.2473971659783274,None,73.36436120804865,73.37855645804666,74.38748758297879,74.36346783302724,73.11267816706095,,,,,,,,,330,001,,,behavioral,2026-05-27_14h54.25.718,encodingtask,,2025.2.4,None,2026-05-27 14h54.25.975610 -0400,
