run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,integrated_stimulus,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs_trial.thisRepN,runs_trial.thisTrialN,runs_trial.thisN,runs_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,integrated_scene_presentation.started,image_integrated.started,integrated_scene_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,blank1000.started,text_8.started,text_8.stopped,blank1000.stopped,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,participant,session,group,delay,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.005903417011722922,0.005952917039394379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059665420558303595,0.010868625016883016,0.9965516249649227,2.933077458059415,space,1.7718160829972476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9406362080480903,2.94827054196503,2.94827054196503,6.648385124979541,space,3.694775375071913,None,,,,,,,,,,,,,,,,,,,,,,,,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648467208025977,6.659407541970722,8.728954292018898,8.646623583044857,,,,,,,,,,,,,,,,,,,,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
1,0,0,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/jungle_animal_41.png,Jungle,animal,sc,stimuli/integrated/jungle_b_jungle_animal_41.jpg,None,0,,,0,0,0,0,0,0,0,0,8.728954292018898,,,,,,,,,,,,,,,,,,,,,,8.662532582995482,8.662611291976646,8.723697750014253,8.728954292018898,10.662747208029032,10.662828707951121,10.673130166949704,10.673130166949704,11.66884829197079,11.66884829197079,11.656952708028257,None,0,11.65706533298362,11.66884829197079,12.705039749969728,12.657666667015292,,,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
1,1,1,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Negvi,stimuli/items/jungle_animal_27.png,Jungle,animal,si,stimuli/integrated/undersea_b_jungle_animal_27.jpg,p,1,0.5878772910218686,None,0,0,0,0,0,1,1,1,12.705039749969728,,,,,,,,,,,,,,,,,,,,,,,,12.699859541957267,12.705039749969728,14.66313787503168,14.663216958055273,14.6739654999692,14.6739654999692,,,15.264772417023778,p,1,15.26488283299841,15.276267666951753,17.575753042008728,16.26316491700709,0.5878772910218686,None,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
1,2,2,0,stimuli/TESTscenes/JB_1.jpg,Jungle,Somar,stimuli/items/jungle_object_4.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_4.jpg,q,1,0.4082226660102606,None,0,0,0,0,0,2,2,2,17.575753042008728,,,,,,,,,,,,,,,,,,,,,,,,17.56941466697026,17.575753042008728,18.27411574998405,18.274204917019233,18.280462166992947,18.280462166992947,,,18.692141250008717,q,1,18.692307666991837,18.70399162499234,20.740041499957442,19.69105208304245,0.4082226660102606,None,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
1,3,3,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Negvi,stimuli/items/undersea_animal_2.png,Undersea,animal,sc,stimuli/integrated/undersea_a_undersea_animal_2.jpg,q,1,0.479501917026937,None,0,0,0,0,0,3,3,3,20.740041499957442,,,,,,,,,,,,,,,,,,,,,,,,20.731328750029206,20.740041499957442,21.696109708049335,21.696198291960172,21.707139916950837,21.707139916950837,,,22.192405999987386,q,1,22.192573667038232,22.203961458057165,24.197457875008695,23.191097917035222,0.479501917026937,None,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
1,4,4,0,stimuli/TESTscenes/UB_1.jpg,Undersea,Malbow,stimuli/items/jungle_object_5.png,Jungle,object,si,stimuli/integrated/undersea_a_jungle_object_5.jpg,q,0,0.3205695409560576,None,0,0,0,0,0,4,4,4,24.197457875008695,,,,,,,,,,,,,,,,,,,,,,,,24.192366000032052,24.197457875008695,25.19749520800542,25.197593500022776,25.20698966702912,25.20698966702912,,,25.53113341704011,q,0,25.531248833052814,25.542874124948867,26.568506499985233,26.530251707998104,0.3205695409560576,None,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
1,5,5,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/undersea_animal_19.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_19.jpg,q,0,0.3447185829281807,None,0,0,0,0,0,5,5,5,26.568506499985233,,,,,,,,,,,,,,,,,,,,,,,,26.563200333039276,26.568506499985233,28.540667042019777,28.540759125025943,28.546733375056647,28.546733375056647,,,28.897371375001967,q,0,28.89748625003267,28.909240999957547,29.934444917016663,29.896629499970004,0.3447185829281807,None,555,001,,,2026-03-30_19h23.23.777,encodingtask,,2025.2.4,None,2026-03-30 19h23.25.191962 +0200,
