scene_stimulus,scene_cat,scene_label,canonical_item,item_cat,item_type,congruency,integrated_stimulus,recalled_stimulus
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_object_13.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_13.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_13.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_animal_8.png,Jungle,animal,si,stimuli/integrated/ocean_b_jungle_animal_8.jpg,stimuli/recalled/recalled_ocean_b_jungle_animal_8.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_object_4.png,Undersea,object,sc,stimuli/integrated/ocean_a_undersea_object_4.jpg,stimuli/recalled/recalled_ocean_a_undersea_object_4.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_object_1.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_1.jpg,stimuli/recalled/recalled_jungle_a_jungle_object_1.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_animal_17.png,Undersea,animal,sc,stimuli/integrated/ocean_a_undersea_animal_17.jpg,stimuli/recalled/recalled_ocean_a_undersea_animal_17.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_7.png,Jungle,animal,sc,stimuli/integrated/jungle_b_jungle_animal_7.jpg,stimuli/recalled/recalled_jungle_b_jungle_animal_7.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_animal_1.png,Undersea,animal,sc,stimuli/integrated/ocean_a_undersea_animal_1.jpg,stimuli/recalled/recalled_ocean_a_undersea_animal_1.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_10.png,Jungle,animal,sc,stimuli/integrated/jungle_b_jungle_animal_10.jpg,stimuli/recalled/recalled_jungle_b_jungle_animal_10.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_animal_19.png,Undersea,animal,sc,stimuli/integrated/ocean_a_undersea_animal_19.jpg,stimuli/recalled/recalled_ocean_a_undersea_animal_19.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_16.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_16.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_16.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_animal_12.png,Jungle,animal,si,stimuli/integrated/ocean_a_jungle_animal_12.jpg,stimuli/recalled/recalled_ocean_a_jungle_animal_12.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_object_10.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_10.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_10.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_object_10.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_10.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_10.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_animal_1.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_1.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_1.jpg
