scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015361249970737845,0.034749125014059246,0.9987179579911754,1.4990278329933062,space,0.18895341700408608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
JA,Somar,TESTstimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.5692398750106804,,,,,,,,,1.544180041004438,1.5442335410043597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
JB,Malbow,TESTstimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,1.5692398750106804,,,,,,,,,1.5443150830105878,1.5443489999743178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
UA,Tulon,TESTstimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1.5692398750106804,,,,,,,,,1.5444179580081254,1.544447832973674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
UB,Negvi,TESTstimuli/TESTscenes/UB_3.jpg,4,3,3,0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,1.5692398750106804,,,,,,,,,1.5445152079919353,1.5445446249796078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5445880829938687,1.5692398750106804,1.5692398750106804,2.628129499964416,space,1.0470229999627918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,2,0,0,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.258581249974668,None,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,2.725923124991823,,,,,,,,,,,,,,,,,,2.7007482909830287,2.725923124991823,2.725923124991823,2.725923124991823,2.725923124991823,3.6267168750055134,3.8946554160211235,space,0.258581249974668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,2,1,1,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.0669763750047423,None,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,,,,,,,,,3.953700290992856,,,,,,,,,,,,,,,,,,3.9455217499635182,3.953700290992856,3.953700290992856,3.953700290992856,3.953700290992856,4.893230457964819,4.968587208015379,space,0.0669763750047423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,2,2,2,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.05840487498790026,None,,,,,,,,,,,,,,,,,,0,0,0,1,0,2,2,2,,,,,,,,,5.0238729160046205,,,,,,,,,,,,,,,,,,5.0162160829640925,5.0238729160046205,5.0238729160046205,5.0238729160046205,5.0238729160046205,5.965836582996417,6.02805416600313,space,0.05840487498790026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
,,,,0,0,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h44.37.350,TEST_training_task,,2025.2.4,None,2026-03-10 15h44.38.570963 +0100,
