scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019244249968323857,0.02784370898734778,0.9912042089854367,1.374428958981298,space,0.0968884999747388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
JA,Somar,TESTstimuli/TESTscenes/JA_2.jpg,1,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.4444457499776036,,,,,,,,,1.4189534169854596,1.4190083339926787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
JB,Malbow,TESTstimuli/TESTscenes/JB_3.jpg,2,1,1,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,1.4444457499776036,,,,,,,,,1.41909266699804,1.419127875007689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
UA,Tulon,TESTstimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1.4444457499776036,,,,,,,,,1.4192007500096224,1.4192315840045922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
UB,Negvi,TESTstimuli/TESTscenes/UB_3.jpg,4,3,3,0,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,1.4444457499776036,,,,,,,,,1.4192991249728948,1.4193281669868156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4193642919999547,1.4444457499776036,1.4444457499776036,2.3377097090124153,space,0.8886274169781245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,2,0,0,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.2842368329875171,None,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,2.420654874993488,,,,,,,,,,,,,,,,,,2.4090335840010084,2.420654874993488,2.420654874993488,2.420654874993488,2.420654874993488,3.3364978340105154,3.628557458985597,space,0.2842368329875171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,2,1,1,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.7558531240210868,None,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,,,,,,,,,3.685597333998885,,,,,,,,,,,,,,,,,,3.6779485839651898,3.685597333998885,3.685597333998885,3.685597333998885,3.685597333998885,4.626960166962817,5.387623374990653,space,0.7558531240210868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,2,2,2,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.12930712499655783,None,,,,,,,,,,,,,,0,0,0,1,0,2,2,2,,,,,,,,,5.4435827499837615,,,,,,,,,,,,,,,,,,5.435861875012051,5.4435827499837615,5.4435827499837615,5.4435827499837615,5.4435827499837615,6.386342916986905,6.520001833967399,space,0.12930712499655783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,0,0,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,4,0,0,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.2806685409741476,None,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,6.583239791973028,,,,,,,,,,,,,,,,,,6.574160041986033,6.583239791973028,6.583239791973028,6.583239791973028,6.583239791973028,7.510034209000878,7.793660208990332,space,0.2806685409741476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,4,1,1,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.5090199579717591,None,,,,,,,,,,,,,,0,1,1,3,0,1,1,1,,,,,,,,,7.842669833975378,,,,,,,,,,,,,,,,,,7.834902125003282,7.842669833975378,7.842669833975378,7.842669833975378,7.842669833975378,8.792651875002775,9.304516792006325,space,0.5090199579717591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,4,2,2,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.018553999019786716,None,,,,,,,,,,,,,,0,1,1,3,0,2,2,2,,,,,,,,,9.354022709012497,,,,,,,,,,,,,,,,,,9.346335500013083,9.354022709012497,9.354022709012497,9.354022709012497,9.354022709012497,10.303051666996907,10.3282916250173,space,0.018553999019786716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,1,1,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,1,0,0,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.5241312909638509,None,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,10.389565249963198,,,,,,,,,,,,,,,,,,10.381465083977673,10.389565249963198,10.389565249963198,10.389565249963198,10.389565249963198,11.325450500007719,11.854135833971668,space,0.5241312909638509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,1,1,1,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.13960120803676546,None,,,,,,,,,,,,,,0,2,2,0,0,1,1,1,,,,,,,,,11.910805958963465,,,,,,,,,,,,,,,,,,11.903305709012784,11.910805958963465,11.910805958963465,11.910805958963465,11.910805958963465,12.85288074996788,13.00411866698414,space,0.13960120803676546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,1,2,2,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.1456342909950763,None,,,,,,,,,,,,,,0,2,2,0,0,2,2,2,,,,,,,,,13.055595999991056,,,,,,,,,,,,,,,,,,13.047939334006514,13.055595999991056,13.055595999991056,13.055595999991056,13.055595999991056,14.002855375001673,14.154401708976366,space,0.1456342909950763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,2,2,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,3,0,0,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.05851954099489376,None,,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,14.215653624967672,,,,,,,,,,,,,,,,,,14.207662125001661,14.215653624967672,14.215653624967672,14.215653624967672,14.215653624967672,15.152849874983076,15.22103704197798,space,0.05851954099489376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,3,1,1,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.041879748983774334,None,,,,,,,,,,,,,,0,3,3,2,0,1,1,1,,,,,,,,,15.272901209013071,,,,,,,,,,,,,,,,,,15.265628084016498,15.272901209013071,15.272901209013071,15.272901209013071,15.272901209013071,16.219525499967858,16.270980083965696,space,0.041879748983774334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,3,2,2,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.887638957996387,None,,,,,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,,,,,16.322202374984045,,,,,,,,,,,,,,,,,,16.31469487497816,16.322202374984045,16.322202374984045,16.322202374984045,16.322202374984045,17.26974562497344,18.159769708989188,space,0.887638957996387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.162567334016785,18.174563625012524,18.174563625012524,19.39325199997984,space,1.2118454580195248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,0,0,0,,,,,,,,JA,TESTstimuli/TESTscenes/JA_1.jpg,TESTstimuli/TESTscenes/JA_2.jpg,TESTstimuli/TESTscenes/JA_3.jpg,Tulon,space,2.28229270799784,None,,,,,,,,,,,,,,0,0,0,0,,,,,19.69507270900067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.684583791997284,19.69507270900067,19.69507270900067,19.69507270900067,19.69507270900067,19.69507270900067,21.987875083985273,space,2.28229270799784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
,,,,1,1,0,,,,,,,,JB,TESTstimuli/TESTscenes/JB_1.jpg,TESTstimuli/TESTscenes/JB_2.jpg,TESTstimuli/TESTscenes/JB_3.jpg,Malbow,space,1.6479117080452852,None,,,,,,,,,,,,,,0,1,1,1,,,,,22.14622383401729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.135521791991778,22.14622383401729,22.14622383401729,22.14622383401729,22.14622383401729,22.14622383401729,23.804704791982658,space,1.6479117080452852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-03-10_15h54.30.790,TEST_training_task,,2025.2.4,None,2026-03-10 15h54.31.964717 +0100,
