scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013919917051680386,0.02344291703775525,0.9895625000353903,8.664164792047814,space,7.346711999038234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
JA,Malbow,TESTstimuli/TESTscenes/JA_3.jpg,1,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,8.709833333035931,,,,,,,,,8.681955583044328,8.682003707974218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
JB,Tulon,TESTstimuli/TESTscenes/JB_3.jpg,2,1,1,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,8.709833333035931,,,,,,,,,8.682086374959908,8.682117499993183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
UA,Somar,TESTstimuli/TESTscenes/UA_2.jpg,3,2,2,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,8.709833333035931,,,,,,,,,8.682186792022549,8.682214083033614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
UB,Negvi,TESTstimuli/TESTscenes/UB_3.jpg,4,3,3,0,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,8.709833333035931,,,,,,,,,8.682277583051473,8.68230470805429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.682339666993357,8.709833333035931,8.709833333035931,13.751711167045869,space,5.031221415963955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,1,0,0,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.12043145799543709,None,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,13.854454500018619,,,,,,,,,,,,,,,,,,13.839021792053245,13.854454500018619,13.854454500018619,13.854454500018619,13.854454500018619,14.749585625017062,14.874511957983486,space,0.12043145799543709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,1,1,1,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.13647316605784,None,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,14.93607587495353,,,,,,,,,,,,,,,,,,14.927415332989767,14.93607587495353,14.93607587495353,14.93607587495353,14.93607587495353,15.8665364170447,16.007630542037077,space,0.13647316605784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,1,2,2,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.2424792490201071,None,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,16.062639208044857,,,,,,,,,,,,,,,,,,16.054946874966845,16.062639208044857,16.062639208044857,16.062639208044857,16.062639208044857,16.999456624966115,17.251051792060025,space,0.2424792490201071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,0,0,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,3,0,0,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,0.20417987403925508,None,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,17.312851916998625,,,,,,,,,,,,,,,,,,17.304764042026363,17.312851916998625,17.312851916998625,17.312851916998625,17.312851916998625,18.240668792044744,18.451525417040102,space,0.20417987403925508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,3,1,1,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.3293311659945175,None,,,,,,,,,,,,,,0,1,1,2,0,1,1,1,,,,,,,,,18.50067866698373,,,,,,,,,,,,,,,,,,18.492899999953806,18.50067866698373,18.50067866698373,18.50067866698373,18.50067866698373,19.4504729580367,19.785357833025046,space,0.3293311659945175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,3,2,2,0,scenes_group3.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.07622658193577081,None,,,,,,,,,,,,,,0,1,1,2,0,2,2,2,,,,,,,,,19.839281458058394,,,,,,,,,,,,,,,,,,19.831238458049484,19.839281458058394,19.839281458058394,19.839281458058394,19.839281458058394,20.783692457946017,20.8687940830132,space,0.07622658193577081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,1,1,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,4,0,0,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.5959366660099477,None,,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,20.932091666967608,,,,,,,,,,,,,,,,,,20.923353582969867,20.932091666967608,20.932091666967608,20.932091666967608,20.932091666967608,21.865930041996762,22.468414208036847,space,0.5959366660099477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,4,1,1,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.5490097081055865,None,,,,,,,,,,,,,,0,2,2,3,0,1,1,1,,,,,,,,,22.518334791995585,,,,,,,,,,,,,,,,,,22.509793250006624,22.518334791995585,22.518334791995585,22.518334791995585,22.518334791995585,23.466139832977206,24.01876166695729,space,0.5490097081055865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,4,2,2,0,scenes_group4.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.43654812406748533,None,,,,,,,,,,,,,,0,2,2,3,0,2,2,2,,,,,,,,,24.068269917042926,,,,,,,,,,,,,,,,,,24.060539708007127,24.068269917042926,24.068269917042926,24.068269917042926,24.068269917042926,25.01720216695685,25.458047250052914,space,0.43654812406748533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,2,2,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,2,0,0,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.3405625830637291,None,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,25.521433042013086,,,,,,,,,,,,,,,,,,25.512816542061046,25.521433042013086,25.521433042013086,25.521433042013086,25.521433042013086,26.449222750030458,26.801761624985375,space,0.3405625830637291,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
