scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347167056053877,0.022947333985939622,0.9958454170264304,2.951432584086433,space,1.650884916074574,None,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
JA,Somar,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,2.9935455840313807,,,,,,,,,2.969535083975643,2.9695844589732587,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
JB,Negvi,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,0,1,1,1,,,,,,,,,2.9935455840313807,,,,,,,,,2.9696704590460286,2.9697029170347378,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
UA,Tulon,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,0,2,2,2,,,,,,,,,2.9935455840313807,,,,,,,,,2.9697747920872644,2.9698032920714468,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
UB,Malbow,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,0,3,3,3,,,,,,,,,2.9935455840313807,,,,,,,,,2.9698702089954168,2.9698977500665933,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9699357920326293,2.9935455840313807,2.9935455840313807,4.314438167028129,space,1.317236208007671,None,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,2.237977833021432,None,,,,,0,0,0,1,0,0,0,0,4.407891292008571,,,,,,,,,,,,,,,,,,4.398095000069588,4.407891292008571,4.407891292008571,4.407891292008571,4.407891292008571,5.312343041994609,7.5547464590054005,space,2.237977833021432,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.15744424902368337,None,,,,,0,0,0,1,0,1,1,1,7.611549334018491,,,,,,,,,,,,,,,,,,7.603094374993816,7.611549334018491,7.611549334018491,7.611549334018491,7.611549334018491,8.55121962504927,8.712350709014572,space,0.15744424902368337,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,1.229434083099477,None,,,,,0,0,0,1,0,2,2,2,8.768439042032696,,,,,,,,,,,,,,,,,,8.760698499972932,8.768439042032696,8.768439042032696,8.768439042032696,8.768439042032696,9.703215667046607,10.937881750054657,space,1.229434083099477,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,,0,0,0,scenes_group2.xlsx,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,1.1725706659490243,None,,,,,0,1,1,3,0,0,0,0,11.005593333975412,,,,,,,,,,,,,,,,,,10.998107459046878,11.005593333975412,11.005593333975412,11.005593333975412,11.005593333975412,11.935886375023983,13.1136277919868,space,1.1725706659490243,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.12247412500437349,None,,,,,0,1,1,3,0,1,1,1,13.168904458987527,,,,,,,,,,,,,,,,,,13.16020045906771,13.168904458987527,13.168904458987527,13.168904458987527,13.168904458987527,14.111082250019535,14.235557249980047,space,0.12247412500437349,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.14312741602770984,None,,,,,0,1,1,3,0,2,2,2,14.2841104590334,,,,,,,,,,,,,,,,,,14.276109834085219,14.2841104590334,14.2841104590334,14.2841104590334,14.2841104590334,15.236322417040356,15.381004958995618,space,0.14312741602770984,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,,1,1,0,scenes_group4.xlsx,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,1,0,0,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.6128285829909146,None,,,,,0,2,2,0,0,0,0,0,15.455962167005055,,,,,,,,,,,,,,,,,,15.447517334017903,15.455962167005055,15.455962167005055,15.455962167005055,15.455962167005055,16.37856479198672,16.995928167016245,space,0.6128285829909146,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,1,1,1,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.17590087500866503,None,,,,,0,2,2,0,0,1,1,1,17.053711750078946,,,,,,,,,,,,,,,,,,17.045318584074266,17.053711750078946,17.053711750078946,17.053711750078946,17.053711750078946,17.99452100007329,18.180654749972746,space,0.17590087500866503,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,1,2,2,0,scenes_group1.xlsx,stimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,1.2216074580792338,None,,,,,0,2,2,0,0,2,2,2,18.23562029202003,,,,,,,,,,,,,,,,,,18.227853292017244,18.23562029202003,18.23562029202003,18.23562029202003,18.23562029202003,19.17876174999401,20.404654084006324,space,1.2216074580792338,None,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
,,,,2,2,0,scenes_group1.xlsx,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-30_14h49.56.546,TEST_training_task,,2025.2.4,None,2026-03-30 14h49.57.519744 +0200,
