scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_left,scene_right,key_rate_2.keys,key_rate_2.corr,key_rate_2.rt,key_rate_2.duration,key_question_2.keys,key_question_2.corr,key_question_2.rt,key_question_2.duration,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,integrated_stimulus,scene_cat,item_stimulus,item_cat,item_type,congruency,scene_id,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scenes.rt,key_resp_scenes.duration,key_resp_scene_conf.keys,key_resp_scene_conf.rt,key_resp_scene_conf.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,skip_loop.thisRepN,skip_loop.thisTrialN,skip_loop.thisN,skip_loop.thisIndex,loop_msg.thisRepN,loop_msg.thisTrialN,loop_msg.thisN,loop_msg.thisIndex,trials_enc.thisRepN,trials_enc.thisTrialN,trials_enc.thisN,trials_enc.thisIndex,part4_loop.thisRepN,part4_loop.thisTrialN,part4_loop.thisN,part4_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,part2_feedback.stopped,text_part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,text.stopped,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,p3_rate.stopped,p3_vis_loop.key_rate_2.keys,p3_vis_loop.key_rate_2.corr,p3_vis_loop.key_rate_2.rt,p3_vis_loop.key_rate_2.duration,p3_question.started,text_question_2.started,text_option_2.started,key_question_2.started,text_5.started,p3_question.stopped,p3_vis_loop.key_question_2.keys,p3_vis_loop.key_question_2.corr,p3_vis_loop.key_question_2.rt,p3_vis_loop.key_question_2.duration,text_p3_visualize.stopped,textbox_scene_name_2.stopped,p3_study_again.started,study_scene_left.started,study_scene_right.started,study_name1_2.started,key_sceneLearn.started,text_6.started,text_7.started,p3_study_again.stopped,skip_loop.key_sceneLearn.keys,skip_loop.key_sceneLearn.rt,skip_loop.key_sceneLearn.duration,p3_correct_msg.started,text_next_scene_2.started,text_next_scene_2.stopped,p3_correct_msg.stopped,p4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,p4_instructions.stopped,key_part4_instructions.keys,key_part4_instructions.rt,key_part4_instructions.duration,enc_instruction_screen.started,text_enc_instruction.started,key_proceed.started,enc_instruction_screen.stopped,key_proceed.keys,key_proceed.rt,key_proceed.duration,enc_inst_2.started,text_relatedness_keys.started,key_proceed_2.started,enc_inst_2.stopped,key_proceed_2.keys,key_proceed_2.rt,key_proceed_2.duration,get_stim_list.started,get_stim_list.stopped,integrated_scene_presentation.started,image_integrated.started,integrated_scene_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,congruency_response.stopped,trials_enc.key_resp_congruency.keys,trials_enc.key_resp_congruency.corr,trials_enc.key_resp_congruency.rt,trials_enc.key_resp_congruency.duration,blank1000_2.started,text_8.started,text_8.stopped,blank1000_2.stopped,ret_inst_gen.started,text_9.started,ret_inst_gen.stopped,key_continue_7.keys,key_continue_7.rt,key_continue_7.duration,ret_inst_1.started,ret_inst_1.stopped,ret_inst_2.started,image_inst2.started,ret_inst_2.stopped,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,ret_inst_3.started,image_inst3.started,ret_inst_3.stopped,key_continue_3.keys,key_continue_3.rt,key_continue_3.duration,ret_inst_4.started,image_inst4.started,ret_inst_4.stopped,key_continue_4.keys,key_continue_4.rt,key_continue_4.duration,ret_inst_5.started,image_inst5.started,ret_inst_5.stopped,key_continue_5.keys,key_continue_5.rt,key_continue_5.duration,ret_inst_6.started,image_inst6.started,ret_inst_6.stopped,key_continue_6.keys,key_continue_6.rt,key_continue_6.duration,ret_inst_7.started,image_inst7.started,ret_inst_7.stopped,key_continue.keys,key_continue.rt,key_continue.duration,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,p4_blank1000.started,text_10.started,p4_blank1000.stopped,select_context.started,text_contrext_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,part4_loop.key_resp_context.keys,part4_loop.key_resp_context.corr,part4_loop.key_resp_context.rt,part4_loop.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,text_context_choice.started,slider_context_conf.started,key_resp_context_conf.started,context_confidence.stopped,part4_loop.key_resp_context_conf.keys,part4_loop.key_resp_context_conf.rt,part4_loop.key_resp_context_conf.duration,text_10.stopped,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,key_resp_scenes.started,select_scene_name.stopped,part4_loop.key_resp_scenes.keys,part4_loop.key_resp_scenes.corr,part4_loop.key_resp_scenes.rt,part4_loop.key_resp_scenes.duration,select_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,select_confidence.stopped,part4_loop.key_resp_scene_conf.keys,part4_loop.key_resp_scene_conf.rt,part4_loop.key_resp_scene_conf.duration,blank_3000.started,text_blank3000.started,text_blank3000.stopped,blank_3000.stopped,key_resp_context_conf.stopped,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,key_resp_scenes.stopped,key_resp_scene_conf.stopped,text_chosen_scene.stopped,slider_scene_conf.stopped,text_contrext_headline.stopped,text_sea.stopped,text_jungle.stopped,key_resp_context.stopped,text_context_choice.stopped,slider_context_conf.stopped,end_screen.started,text_end_screen.started,key_resp_exit.started,text_end_screen.stopped,key_resp_exit.stopped,end_screen.stopped,key_resp_exit.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016211124951951206,0.025197834009304643,1.2051844169618562,2.4854937499621883,space,1.2742981250630692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
JA,Malbow,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.524504999979399,,,,,,,,,2.5157588749425486,2.5158184999600053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
JB,Negvi,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.524504999979399,,,,,,,,,2.5159244999522343,2.5159601669292897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
UA,Tulon,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.524504999979399,,,,,,,,,2.5160445839865133,2.5160765419714153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
UB,Somar,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.524504999979399,,,,,,,,,2.516154041979462,2.5161846249829978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5162395000224933,2.524504999979399,2.524504999979399,3.97762983397115,space,1.4439884580206126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,0.6108328331029043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.125475417007692,,,,,,,,,,,,,,,,,,4.114544749958441,4.125475417007692,4.125475417007692,4.125475417007692,4.125475417007692,4.967653083964251,5.585804875008762,space,0.6108328331029043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,0.4269087080610916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.649280917015858,,,,,,,,,,,,,,,,,,5.641110625001602,5.649280917015858,5.649280917015858,5.649280917015858,5.649280917015858,6.584245958947577,7.017459916998632,space,0.4269087080610916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.4969312079483643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.074752334039658,,,,,,,,,,,,,,,,,,7.066224874928594,7.074752334039658,7.074752334039658,7.074752334039658,7.074752334039658,8.009332292014733,8.512447917019017,space,0.4969312079483643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
,,,,0,0,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,001,2026-03-31_00h26.49.275,TEST_training_task,,2025.2.4,None,2026-03-31 00h26.50.250629 +0200,
