scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06464104197220877,0.11458033398957923,0.9992399589973502,1.8928514589788392,space,0.6125149169820361,None,,,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
JA,Tulon,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,1.934333292010706,,,,,,,,,1.910451292002108,1.9105012500076555,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
JB,Malbow,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,0,1,1,1,,,,,,,,,1.934333292010706,,,,,,,,,1.9105875419918448,1.9106208339799196,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
UA,Somar,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,0,2,2,2,,,,,,,,,1.934333292010706,,,,,,,,,1.9106953340233304,1.9107243749895133,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
UB,Negvi,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,0,3,3,3,,,,,,,,,1.934333292010706,,,,,,,,,1.9107918340014294,1.9108202090137638,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9108622500207275,1.934333292010706,1.934333292010706,13.066664709011093,space,11.125957957992796,None,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,6.448966416995972,None,,,,,0,0,0,1,0,0,0,0,13.306333458982408,,,,,,,,,,,,,,,,,,13.283907916978933,13.306333458982408,13.306333458982408,13.306333458982408,13.306333458982408,13.306333458982408,19.768208874971606,space,6.448966416995972,None,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,1.3612847500480711,None,,,,,0,0,0,1,0,1,1,1,19.885593292012345,,,,,,,,,,,,,,,,,,19.869749874982517,19.885593292012345,19.885593292012345,19.885593292012345,19.885593292012345,19.885593292012345,21.250519249995705,space,1.3612847500480711,None,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,1.704014333023224,None,,,,,0,0,0,1,0,2,2,2,21.345768124971073,,,,,,,,,,,,,,,,,,21.331625083985273,21.345768124971073,21.345768124971073,21.345768124971073,21.345768124971073,21.345768124971073,23.05981695902301,space,1.704014333023224,None,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
,,,,0,0,0,scenes_group2.xlsx,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,2.658088750031311,None,,,,,0,1,1,3,0,0,0,0,23.24466870899778,,,,,,,,,,,,,,,,,,23.22954408399528,23.24466870899778,23.24466870899778,23.24466870899778,23.24466870899778,23.24466870899778,25.91110058396589,space,2.658088750031311,None,330,001,2026-04-26_22h42.23.280,TEST_training_task,,2025.2.4,2026-04-26 22h42.24.368599 +0200,
