scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06875241600209847,0.09720349998679012,0.9911239159991965,2.1434709999593906,space,0.8249658330460079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
JA,Malbow,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2.1883571249782108,,,,,,,,,2.161856499966234,2.1619072079774924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
JB,Tulon,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.1883571249782108,,,,,,,,,2.161994374997448,2.1620276249595918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
UA,Somar,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.1883571249782108,,,,,,,,,2.1621010410017334,2.162130040989723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
UB,Negvi,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.1883571249782108,,,,,,,,,2.1621975830057636,2.162225874955766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.162273499998264,2.1883571249782108,2.1883571249782108,3.1257798330043443,space,0.9357369590434246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,6.673832375032362,None,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,3.2603976659593172,,,,,,,,,,,,,,,,,,3.250325208005961,3.2603976659593172,3.2603976659593172,3.2603976659593172,3.2603976659593172,3.2603976659593172,9.936522457981482,space,6.673832375032362,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.5868857500026934,None,,,,,,,,,,,,,0,0,0,3,0,1,1,1,,,,,9.99588699999731,,,,,,,,,,,,,,,,,,9.987196083005983,9.99588699999731,9.99588699999731,9.99588699999731,9.99588699999731,9.99588699999731,10.586138874990866,space,0.5868857500026934,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.4118546249810606,None,,,,,,,,,,,,,0,0,0,3,0,2,2,2,,,,,10.63689612498274,,,,,,,,,,,,,,,,,,10.62932283297414,10.63689612498274,10.63689612498274,10.63689612498274,10.63689612498274,10.63689612498274,11.051493415958248,space,0.4118546249810606,None,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
,,,,0,0,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,001,2026-04-26_23h00.45.871,TEST_training_task,,2025.2.4,2026-04-26 23h00.46.959806 +0200,
