scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019556208979338408,0.033529667009133846,0.9989272090024315,2.780279042024631,space,1.2859096250031143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
JA,Somar,TESTstimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2.8790898750303313,,,,,,,,,2.829156249994412,2.8292182920267805,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
JB,Malbow,TESTstimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.8790898750303313,,,,,,,,,2.829307499981951,2.829339916992467,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
UA,Tulon,TESTstimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.8790898750303313,,,,,,,,,2.829409125028178,2.829437709006015,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
UB,Negvi,TESTstimuli/TESTscenes/UB_3.jpg,4,3,3,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.8790898750303313,,,,,,,,,2.8295057920040563,2.829534624994267,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.829575959010981,2.8790898750303313,2.8790898750303313,3.62842141703004,space,0.7465663740294985,None,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,1,0,0,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,This scene is a scene from a jungle named,space,0.5051521670538932,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,3.720645916997455,,,,,,,,,,,,,,,,,,3.708035917021334,3.720645916997455,3.720645916997455,3.720645916997455,3.720645916997455,4.624459417012986,5.134215750033036,space,0.5051521670538932,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,1,1,1,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_2.png,Tulon,This scene is a scene from a jungle named,space,0.7236154989805073,None,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,5.192532958986703,,,,,,,,,,,,,,,,,,5.184530041995458,5.192532958986703,5.192532958986703,5.192532958986703,5.192532958986703,6.132976167020388,6.86047083401354,space,0.7236154989805073,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,1,2,2,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.33800254098605365,None,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,6.919562250026502,,,,,,,,,,,,,,,,,,6.912243125028908,6.919562250026502,6.919562250026502,6.919562250026502,6.919562250026502,7.859435249993112,8.201837167027406,space,0.33800254098605365,None,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
,,,,0,0,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2026-03-10_15h06.50.156,TEST_training_task,,2025.2.4,None,2026-03-10 15h06.51.372593 +0100,
