scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06169937498634681,0.11324395902920514,0.9957732920302078,3.6618046670337208,space,2.369812584016472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
JA,Tulon,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,3.701505167002324,,,,,,,,,3.6783658339991234,3.6784170840401202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
JB,Malbow,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,3.701505167002324,,,,,,,,,3.6785073750070296,3.67853987502167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
UA,Negvi,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,3.701505167002324,,,,,,,,,3.6786087920190766,3.6786374170333147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
UB,Somar,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,3.701505167002324,,,,,,,,,3.6787044589873403,3.6787321669980884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6787738340208307,3.701505167002324,3.701505167002324,5.816038625023793,space,2.107735124998726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,7.252237499982584,None,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,5.948278959025629,,,,,,,,,,,,,,,,,,5.9375263749971054,5.948278959025629,5.948278959025629,5.948278959025629,5.948278959025629,5.948278959025629,13.20901008398505,space,7.252237499982584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,1.1585973339970224,None,,,,,,,,,,,,,0,0,0,3,0,1,1,1,,,,,13.265489917015657,,,,,,,,,,,,,,,,,,13.257019209035207,13.265489917015657,13.265489917015657,13.265489917015657,13.265489917015657,13.265489917015657,14.431156542035751,space,1.1585973339970224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.9663847499759868,None,,,,,,,,,,,,,0,0,0,3,0,2,2,2,,,,,14.479721624986269,,,,,,,,,,,,,,,,,,14.472566167009063,14.479721624986269,14.479721624986269,14.479721624986269,14.479721624986269,14.479721624986269,15.449116458999924,space,0.9663847499759868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,0,0,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,2,0,0,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,This is a scene from a jungle named,space,1.9870967080350965,None,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,15.570996417023707,,,,,,,,,,,,,,,,,,15.563908959040418,15.570996417023707,15.570996417023707,15.570996417023707,15.570996417023707,15.570996417023707,17.566151749982964,space,1.9870967080350965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,2,1,1,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,This is a scene from a jungle named,space,5.137724291009363,None,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,17.630570749985054,,,,,,,,,,,,,,,,,,17.62302995903883,17.630570749985054,17.630570749985054,17.630570749985054,17.630570749985054,17.630570749985054,22.774734500038903,space,5.137724291009363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,2,2,2,0,scenes_group2.xlsx,stimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,1.7429953750106506,None,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,22.82895679201465,,,,,,,,,,,,,,,,,,22.82170362502802,22.82895679201465,22.82895679201465,22.82895679201465,22.82895679201465,22.82895679201465,24.57557554199593,space,1.7429953750106506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,1,1,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
