scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06143575004534796,0.1134818330174312,0.997656374995131,2.693815666018054,space,1.4099218329647556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
JA,Negvi,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2.7309156660339795,,,,,,,,,2.706524208013434,2.706575333024375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
JB,Tulon,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,2.7309156660339795,,,,,,,,,2.7066657500108704,2.7066993330372497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
UA,Malbow,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,2.7309156660339795,,,,,,,,,2.706771500001196,2.7068003750173375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
UB,Somar,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,2.7309156660339795,,,,,,,,,2.7068688750150613,2.70689641602803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.706941290991381,2.7309156660339795,2.7309156660339795,4.042942166037392,space,1.3074076250195503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,3,0,0,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,This is a scene from a sea named,space,8.653457166976295,None,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,4.143002625030931,,,,,,,,,,,,,,,,,,4.131811875035055,4.143002625030931,4.143002625030931,4.143002625030931,4.143002625030931,4.143002625030931,12.799995500012301,space,8.653457166976295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,3,1,1,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,This is a scene from a sea named,space,0.9576798329944722,None,,,,,,,,,,,,,,,,,,0,0,0,2,0,1,1,1,,,,,,,,,12.86347616603598,,,,,,,,,,,,,,,,,,12.854587250039913,12.86347616603598,12.86347616603598,12.86347616603598,12.86347616603598,12.86347616603598,13.82433500001207,space,0.9576798329944722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,0.9259484999929555,None,,,,,,,,,,,,,,,,,,0,0,0,2,0,2,2,2,,,,,,,,,13.877191250037868,,,,,,,,,,,,,,,,,,13.869667874998413,13.877191250037868,13.877191250037868,13.877191250037868,13.877191250037868,13.877191250037868,14.809165208018385,space,0.9259484999929555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
,,,,0,0,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,001,2026-04-26_23h30.29.880,TEST_training_task,,2025.2.4,2026-04-26 23h30.30.925454 +0200,
